Station ID,Station Name,River Name,Province,Amphure
"C.45","บ้านบางน้ำเชี่ยว","แม่น้ำเจ้าพระยา","สิงห์บุรี","พรหมบุรี"
"C.46","บ้านไชโย","แม่น้ำเจ้าพระยา","อ่างทอง","ไชโย"
"C.47","บ้านป่าโมก","แม่น้ำเจ้าพระยา","อ่างทอง","ป่าโมก"
"C.56","บ้านท่าน้ำอ้อย","แม่น้ำเจ้าพระยา","นครสวรรค์","พยุหะคีร"
"C.58","บ้านหนองบัว","คลองกระทง","ชัยนาท","วัดสิงห์"
"C.60","บ้านท่าตะโก","คลองท่าตะโก","นครสวรรค์","ท่าตะโก"
"C.64","ท่าข้ากำนันทรง","บึงบอระเพ็ด","นครสวรรค์","เมืองนครสวรรค์"
"C.65","สะพานบางประมุง","คลองบางประมุง","นครสวรรค์","โกรกพระ"
"C.66","สะพานโคกจันทร์","แม่น้ำเจ้าพระยา","ชัยนาท","สรรพยา"
"Ct.20","บ้านสะพานเหล็ก","ห้วยทับเสลา","อุทัยธานี","ลานสัก"
"Ct.21","บ้านบึงโคกช้าง","ห้วยก้านยาว","อุทัยธานี","สว่างอารมณ"
"Ct.22","บ้านหมกแถว","ห้วยขวี","อุทัยธานี","หนองขาหย่าง"
"Ct.23","บ้านห้วยรัง","ห้วยรัง","อุทัยธานี","ลานสัก"
"Ct.24","บ้านจักษา","คลองระแวง","อุทัยธานี","เมืองอุทัยธานี"
"S.7A","วัดท่าระหัด","ลำมวกเหล็ก","สระบุรี","พัฒนานิคม"
"S.39","บ้านบัวชุม","แม่น้ำป่าสัก","ลพบุรี","ชัยบาดาล"
"S.40","บ้านจงโก","ลำสนธิ","ลพบุรี","ล้าสนธิ"
"S.44","บ้านเสาไห้","แม่น้ำป่าสัก","สระบุรี","เสาไห้"
"S.47","บ้านครัว","คลองชัยนาท - ป่าสัก","สระบุรี","ท่าลาน"
"S.48","วัดท่าช้างใต้","แม่น้ำป่าสัก","สระบุรี","เสาไห้"
"S.49","วัดหัวหิน","แม่น้ำป่าสัก","พระนครศรีอยุธยา","ท่าเรือ"
"S.50","สะพานพรหมรังส","แม่น้ำป่าสัก","พระนครศรีอยุธยา","ท่าเรือ"
"T.12A","บ้านทับหมัน","ห้วยกระเสียว","สุพรรณบุรี","ด่านช้าง"
"C.51","บ้านกุดจอก","ห้วยขุนแก้ว","ชัยนาท","หนองมะโมง"
"260311 (N.67)","บ้านเกยไชยเหนือ","แม่น้ำน่าน","นครสวรรค์","ชุมแสง"
"040361 (C.13)","เขื่อนเจ้าพระยา","แม่น้ำเจ้าพระยา","ชัยนาท","สรรพยา"
"690251","","โครงการส่งน้ำฯทับเสลา","อุทัยธานี","ลานสัก"
"260451","บ้านเกาะใหญ่","บ้านเกาะใหญ่","นครสวรรค์","แม่วงก์"
"260461","บ้านธารมะยม","บ้านธารมะยม","นครสวรรค์","แม่วงก์"
"690371","ระบำ","ห้วยขาแข้ง","อุทัยธานี","ลานสัก"
"690151 (C.30)","บ้านสมอทอง","ห้วยขุนแก้ว","อุทัยธานี","ห้วยคต"
"040361 (C.30)","เขื่อนเจ้าพระยา","แม่น้ำเจ้าพระยา","ชัยนาท","สรรพยา"
"190620 (S.28)","เขื่อนป่าสักชลสิทธิ์","แม่น้ำป่าสัก","ลพบุรี","พัฒนานิคม"
"Kgt.18","บ้านท่ากลอย","คลองสียัด","ฉะเชิงเทรา","ท่าตะเกียบ"
"Kgt.44","บ้านแก่งไทร","คลองพระปรง","สระแก้ว","เมืองสระแก้ว"
"Kgt.45","บ้านตาเรืองล่าง","คลองพระสทึง","จันทบุรี","สอยดาว"
"Kgt.65","บ้านท่าพระจันทร","คลองพระปรง","สระแก้ว","วัฒนานคร"
"Kgt.66 ","บ้านแก่งดินสอ","คลองห้วยโสมง","ปราจีนบุรี","นาดี"
"Tl.4","บ้านคลองตาคง","คลองตาคง","จันทบุรี","โป่งน ้าร้อน"
"Tl.6","บ้านทุ่งกร่าง","คลองทุ่งกร่าง","จันทบุรี","โป่งน ้าร้อน"
"Z.46","บ้านนนทรีย์","คลองโสน","ตราด","บ่อไร่"
"Z.52","บ้านคลองยายไท","คลองพรานบุญ","จันทบุรี","แก่งหางแมว"
"Z.53","บ้านทุ่งตาอิน","แม่น้ำจันทบุรี","จันทบุรี","เขาคิชฌกูฏ"
"Z.55","บ้านวังจะอ้าย","แม่น้ำจันทบุรี","จันทบุรี","มะขาม"
"Z.56","บ้านตะบกเตี้ย","คลองทุ่งเพล","จันทบุรี","มะขาม"
"Kgt.33","บ้านหนองแหน","แควน้ำใส","ปราจีนบุรี","นาดี"
"Kgt.34 ","บ้านชะอม","แควหนุมาน","ปราจีนบุรี","นาดี"
"Kgt.38","บ้านภูเงิน","คลองพระเพลิงใหญ่","สระแก้ว","เขาฉกรรจ์"
"Kgt.40","บ้านวังเจริญ","คลองพระสทึงตอนบน","สระแก้ว","วังสมบูรณ์"
"Kgt.42","บ้านท่าระพา","คลองพระสทึง","สระแก้ว","เมืองสระแก้ว"
"Kgt.47","บ้านด่านชัยพัฒนา","คลองพระสทึง","สระแก้ว","วังน้ำเย็น"
"Kgt.51","บ้านประจันตคาม","คลองประจันตคาม","ปราจีนบุรี","ประจันตคาม"
"Ny.6","บ้านชะอม","คลองบ้านนา","สระบุรี","แก่งคอย"
"Tl.3","บ้านพังงอน","คลองพระพุทธ","จันทบุรี","โป่งน้ำร้อน"
"Z.30","บ้านหนองบัว","คลองสะตอ","ตราด","เขาสมิง"
"Z.45","บ้านหนองบอน","คลองคอแล","ตราด","บ่อไร"
"Z.47A","บ้านคลองขวาง","คลองจันทิ","ตราด","เมืองตราด"
"Z.59","บ้านบ่อไร่","คลองบ่อไร่","ตราด","บ่อไร"
"Z.65","บ้านวังอีแอ่น","คลองประแกต","จันทบุรี","แก่งหางแมว"
"090160 (สชป.9)","ต้าบลบางพระ","อ่างเก็บน้ำบางพระ","ชลบุรี","ศรีราชา"
"090171 (Kgt.19) ","บ้านเขานางนม","คลองหลวง","ชลบุรี","เกาะจันทร์"
"090381 เขาเขียว","บ้านเขาไม้แดง","น้ำตกชันตาเถร","ชลบุรี","ศรีราชา"
"440191 (Kgt.15A)","บ้านแก่งดินสอ","ห้วยโสมง","ปราจีนบุรี","นาดี"
"440401","บ้านแก่งดินสอ","อ่างฯนฤบดินทรจินดาฝั่งซ้าย","ปราจีนบุรี","นาดี"
"440411","บ้านแก่งดินสอ","อ่างฯนฤบดินทรจินดาฝั่งขวา","ปราจีนบุรี","นาดี"
"740081 (Kgt.12)","บ้านแก้ง","คลองพระปรง","สระแก้ว","เมืองสระแก้ว"
"740331","อบต.วังสมบูรณ์","-","สระแก้ว","วังสมบูรณ์"
"060191 (kgt.29)","บ้านปะตง","อบต.ปะตง","จันทบุรี","สอยดาว"
"660131","บ้านหมื่นด่าน","กองร้อยทหารพราน","ตราด","บ่อไร่"
"K.17","บ้านบ่อ","ลำภาชี","ราชบุรี","สวนผึ้ง"
"K.22C","บ้านแม่น้ำน้อย","ห้วยแม่น้ำน้อย","กาญจนบุรี","ไทรโยค"
"K.25A","บ้านคา","ห้วยท่าเคย","ราชบุรี","บ้านคา"
"K.30","บ้านแม่น้ำน้อย","ห้วยแม่น้ำเลาะ","กาญจนบุรี","ไทรโยค"
"K.38A","บ้านหนองบาง","ห้วยลิ่นถิ่น","กาญจนบุรี","ทองผาภูมิ"
"K.39","บ้านองธิ","ห้วยองธิ","กาญจนบุรี","ทองผาภูมิ"
"K.50A","บ้านสหกรณ์นิคม","ห้วยดินโส","กาญจนบุรี","ทองผาภูมิ"
"K.56","บ้านหม้อ","แม่น้ำแม่กลองแม่กลอง","ราชบุรี","โพธาราม"
"K.60","บ้านกุยมั่ง","ห้วยกุยมั่ง","กาญจนบุรี","ทองผาภูมิ"
"Gt.8","บ้านไร่คลอง","คลองว้าโทน","ประจวบคีรีขันธ์","เมืองประจวบคีรีขันธ์"
"Gt.15","บ้านสวนสนห้วยทราย","ห้วยทราย","ประจวบคีรีขันธ์","เมืองประจวบคีรีขันธ์"
"Gt.16","บ้านหินจวง","คลองหินจวง","ประจวบคีรีขันธ์","เมืองประจวบคีรีขันธ์"
"Gt.17","บ้านห้วยยาง","ห้วยยาง","ประจวบคีรีขันธ์","ทับสะแก"
"Gt.18","บ้านจะกะบน","คลองจะกะ","ประจวบคีรีขันธ์","ทับสะแก"
"Gt.19","บ้านอ่างทอง","คลองอ่างทอง","ประจวบคีรีขันธ์","ทับสะแก"
"T.10 ","บ้ำนวัดพระรูป","แม่น้ำท่าจีน","สุพรรณบุรี","เมือง"
"K.22A","บ้านแม่น้ำน้อย","ห้วยแม่น้ำน้อย","กาญจนบุรี","ไทรโยค"
"K.36","บ้านท่ามะนาว","แม่น้ำแควใหญ่","กาญจนบุรี","เมืองกาญจนบุรี"
"K.53","บ้านศรีมงคล","ห้วยแม่กระบาล","กาญจนบุรี","ไทรโยค"
"B.17","สะพานถนนเพชรเกษม","แม่น้ำเพชรบุรี","เพชรบุรี","เมืองเพชรบุรี"
"Gt.1 ","บ้านเขาแดง","คลองเขาแดง","ประจวบคีรีขันธ์","กุยบุรี"
"Gt.12A","บ้านห้วยสัก","คลองลำชู","ประจวบคีรีขันธ์","บางสะพานน้อย"
"Gt.20A","บ้านห้วยทรายขาว","คลองบางสะพาน","ประจวบคีรีขันธ์","บางสะพาน"
"Gt.22","รร.อนุบาลบางสะพาน","คลองบางสะพาน","ประจวบคีรีขันธ์","บางสะพาน"
"X.214","บ้านเขาหลวง","คลองละแม (ล่าง)","ชุมพร","ละแม"
"X.284","สะพานราเมศวร์","คลองท่าวัง (ท่าซัก)","นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"X.286","ชุมชนหอไตร","คลองป่าเหล้า","นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"X.287","ชุมชนเพชรจริก","คลองสวนหลวง","นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"X.288","ชุมชนเพชรจริก","คลองคูพาย","นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"X.109","บ้านควนอินนอโม","คลองบางแก้ว","พัทลุง","ตะโหมด"
"X.110","บ้านลำภูรา","คลองลำภูรา","ตรัง","เมืองตรัง"
"X.148","บ้านอุไดใต้","คลองลำโลน","สตูล","ควนกาหลง"
"X.205","บ้านละอุ่นใต้","คลองละอุ่น","ระนอง","ละอุ่น"
"X.291","บ้านช้างเชื่อ","คลองเหล","พังงา","กะปง"
"X.36","บ้านท่าขนอน","คลองพุมดวง","สุราษฎร์ธานี","คีรีรัฐนิคม"
"X.46","บ้านท่าข้าม","คลองรับร่อ","ชุมพร","ท่าแซะ"
"X.195","บ้านต้นโพธิ์","แม่น้ำตาปี","นครศรีธรรมราช","ฉวาง "
"X.285","สนามหน้าเมือง","คลองนครน้อย","นครศรีธรรมราช","เมืองนครศรีธรรมราช"
"X.289","วัดถลุงทอง","คลองเสาธง","นครศรีธรรมราช","ร่อนพิบูลย์"
"X.44  ","บ้านหาดใหญ่ใน","คลองอู่ตะเภา","สงขลา","หาดใหญ่"
"X.113","บ้านทุ่งปราบ","คลองหล้าปัง","สงขลา","สะเดา"
"X.129","บ้านคลองอีโต","คลองอีโต","พัทลุง","บางแก้ว"
"X.276","บ้านเขาปู่","คลองท่าแนะ (บน)","พัทลุง","ศรีบรรพต"
"X.277","บ้านพิกุลทอง","คลองท่าแนะ (ล่าง)","พัทลุง","ควนขนุน"
"X.40A","บ้านท่าสาป","แม่น้ำปัตตานี","ยะลา","เมืองยะลา"
"X.40B","ท้ายเขื่อนปัตตานี","แม่น้ำปัตตานี","ยะลา","เมืองยะลา"
"X.77","บ้านหัวสะพาน","แม่น้ำปัตตานี","ยะลา","บันนังสตา"
"X.119 ","บ้านมูโน๊ะ","แม่น้ำโก-ลก","นราธิวาส","สุไหงโก-ลก"
"X.272","บ้านลาคอ","แม่น้ำสายบุรี","ปัตตานี","สายบุรี"
"X.283","บ้านปรีกี","แม่น้ำปัตตานี","ปัตตานี","ยะรัง"
"X.208A","บ้านทุ่งใหญ่","คลองกะเปอร์","ระนอง","กะเปอร์"
"X.228","บ้านกลาง","แม่น้ำตรัง","ตรัง","เมืองตรัง"
"X.290A","บ้านเจ็ดท่อ","คลองโรงหัด","ระนอง","เมืองระนอง"
