Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1128971,ทองแสนขัน,TMD,17.466667,100.366669,อุตรดิตถ์,อุตรดิตถ์,ทองแสนขัน,อำเภอ ทองแสนขัน,ตำบลบ่อทอง,บ่อทอง,บ่อทอง อำเภอ ทองแสนขัน อุตรดิตถ์ 53230 ประเทศไทย
1128972,บริษัทไร่บีเอ็นแคมป์สน เขาค้อ,TMD,16.75,101.01667,เพชรบูรณ์,เพชรบูรณ์,เขาค้อ,อำเภอเขาค้อ,ตำบลแคมป์สน,แคมป์สน,แคมป์สน อำเภอเขาค้อ เพชรบูรณ์ ประเทศไทย
1128973,พระตำหนักเขาค้อ เขาค้อ,TMD,16.549999,100.966667,เพชรบูรณ์,เพชรบูรณ์,เขาค้อ,อำเภอเขาค้อ,ตำบลสะเดาะพง,สะเดาะพง,สะเดาะพง อำเภอเขาค้อ เพชรบูรณ์ ประเทศไทย
1128974,เขาค้อ,TMD,16.65,101.01667,เพชรบูรณ์,เพชรบูรณ์,เขาค้อ,อำเภอเขาค้อ,ตำบลเขาค้อ,เขาค้อ,เขาค้อ อำเภอเขาค้อ เพชรบูรณ์ 67270 ประเทศไทย
1128975,สากเหล็ก,TMD,16.488333,100.49028,พิจิตร,พิจิตร,สากเหล็ก,อำเภอ สากเหล็ก,ตำบลสากเหล็ก,สากเหล็ก,สากเหล็ก อำเภอ สากเหล็ก พิจิตร ประเทศไทย
1128976,เอราวัณ,TMD,17.295834,101.957779,เลย,เลย,เอราวัณ,อำเภอ เอราวัณ,ตำบลผาอินทร์แปลง,ผาอินทร์แปลง,ผาอินทร์แปลง อำเภอ เอราวัณ เลย ประเทศไทย
1128977,หนองหิน,TMD,17.119167,101.862221,เลย,เลย,หนองหิน,อำเภอ หนองหิน,ตำบลหนองหิน,หนองหิน,หนองหิน อำเภอ หนองหิน เลย ประเทศไทย
1128978,กู่แก้ว,TMD,17.166666,103.166664,อุดรธานี,อุดรธานี,กู่แก้ว,อำเภอ กู่แก้ว,ตำบลบ้านจีต,บ้านจีต,บ้านจีต อำเภอ กู่แก้ว อุดรธานี 41130 ประเทศไทย
1128979,ประจักษ์ศิลปาคม,TMD,17.240555,103.028893,อุดรธานี,อุดรธานี,ประจักษ์ศิลปาคม,อำเภอ ประจักษ์ศิลปาคม,ตำบลอุ่มจาน,อุ่มจาน,อุ่มจาน อำเภอ ประจักษ์ศิลปาคม อุดรธานี 41110 ประเทศไทย
1128980,นาทม,TMD,17.783333,104.099998,นครพนม,นครพนม,นาทม,อำเภอ นาทม,ตำบลดอนเตย,ดอนเตย,ดอนเตย อำเภอ นาทม นครพนม ประเทศไทย
